Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
0,7,0,7,0,1,"What a stupid absolute move, I can't believe this crap wtf"
1,7,0,5,2,1,"Stop posting your total garbage online, nobody cares"
2,4,0,1,3,2,@someone Spending the day learning something new and it feels rewarding
3,4,0,0,4,2,The sunset this evening was absolutely breathtaking and beautiful wtf
4,5,0,3,2,1,RT @user: That freaking idiot just cut me off in traffic again #smh
5,4,0,3,1,1,"Shut the hell up you freaking moron, nobody asked you lol"
6,5,0,4,1,1,Go screw yourself with that effing nonsense you're spouting #truth
7,6,0,0,6,2,RT @user: Just finished reading a fantastic book I highly recommend
8,7,0,7,0,1,"Stop posting your utter garbage online, nobody cares #smh"
9,7,0,7,0,1,"Stop posting your total garbage online, nobody cares lol"
10,7,0,6,1,1,You're a complete damn loser with no life whatsoever lol
11,5,0,4,1,1,@someone You're a complete bloody loser with no life whatsoever
12,3,0,3,0,1,RT @user: The whole thing is absolute BS and everyone knows it wtf
13,7,0,3,4,1,Are you seriously that dumb? Holy damn crap
14,4,0,3,1,1,Go screw yourself with that absolute nonsense you're spouting
15,4,0,3,1,1,"Stop posting your freaking garbage online, nobody cares lol"
16,5,1,3,1,1,@someone You're a complete utter loser with no life whatsoever
17,6,0,5,1,1,Are you seriously that dumb? Holy total crap lol
18,6,0,6,0,1,The whole thing is damn BS and everyone knows it
19,6,1,3,2,1,Are you seriously that dumb? Holy complete crap #smh
20,3,1,2,0,0,The world would be better without jewish people
21,5,0,5,0,1,"That was the most complete thing I've ever seen, pathetic"
22,3,0,2,1,1,That effing idiot just cut me off in traffic again lol
23,4,0,4,0,1,This entire situation is a bloody disaster from the start
24,3,0,2,1,2,"Looking forward to the weekend, planning to relax and recharge #truth"
25,4,4,0,0,0,The world would be better without black people
26,4,0,4,0,1,"What a absolute joke, I can't stand these people anymore"
27,7,4,1,2,0,female people are parasites destroying our country #smh
28,3,0,2,1,2,Had an amazing time at the concert last night with friends
29,5,0,5,0,1,"RT @user: Shut the hell up you utter moron, nobody asked you #smh"
30,3,0,3,0,1,You're a complete freaking loser with no life whatsoever
31,7,1,5,1,1,"What a stupid freaking move, I can't believe this crap lol"
32,4,0,0,4,2,@someone Started a new gym routine and feeling more energetic already wtf
33,5,1,2,2,1,"Shut the hell up you freaking moron, nobody asked you"
34,7,1,3,3,1,"This is absolute garbage, what a absolute waste of time #smh"
35,3,0,1,2,1,@someone Go screw yourself with that damn nonsense you're spouting
36,5,0,5,0,1,"That was the most bloody thing I've ever seen, pathetic"
37,4,1,2,1,1,Are you seriously that dumb? Holy total crap
38,7,0,3,4,2,@someone Cooked a new recipe tonight and it turned out delicious
39,5,1,3,1,1,The whole thing is damn BS and everyone knows it
40,7,2,3,2,1,"That was the most freaking thing I've ever seen, pathetic"
41,4,0,4,0,1,RT @user: Are you seriously that dumb? Holy freaking crap
42,7,0,3,4,2,The sunset this evening was absolutely breathtaking and beautiful #truth
43,3,0,3,0,1,"What a freaking joke, I can't stand these people anymore"
44,6,0,0,6,2,"RT @user: Looking forward to the weekend, planning to relax and recharge wtf"
45,4,0,0,4,2,"@someone Looking forward to the weekend, planning to relax and recharge lol"
46,5,0,1,4,2,Cooked a new recipe tonight and it turned out delicious
47,3,0,2,1,1,@someone Are you seriously that dumb? Holy effing crap #smh
48,6,0,2,4,2,Spending the day learning something new and it feels rewarding #truth
49,6,0,5,1,1,@someone That freaking idiot just cut me off in traffic again
50,3,0,3,0,1,You're a complete absolute loser with no life whatsoever
51,7,0,2,5,2,The weather today is perfect for an outdoor afternoon walk
52,3,0,2,1,2,Feeling grateful for all the good things happening lately
53,4,0,3,1,1,"@someone This is absolute garbage, what a freaking waste of time #truth"
54,3,0,2,1,1,That utter idiot just cut me off in traffic again #smh
55,5,0,0,5,2,"RT @user: My team won the game tonight, what an exciting match it was"
56,7,0,6,1,1,"@someone What a effing joke, I can't stand these people anymore"
57,3,0,3,0,1,"Stop posting your freaking garbage online, nobody cares #truth"
58,5,0,5,0,1,"You're embarrassing yourself, you absolute buffoon #truth"
59,6,0,6,0,1,This entire situation is a freaking disaster from the start #truth
60,6,0,4,2,1,"You absolute freaking clown, get out of here already #truth"
61,4,0,4,0,1,This entire situation is a freaking disaster from the start
62,6,0,4,2,1,"@someone You absolute effing clown, get out of here already #truth"
63,4,0,3,1,1,Go screw yourself with that freaking nonsense you're spouting
64,4,0,3,1,1,"What a freaking joke, I can't stand these people anymore"
65,6,0,6,0,1,@someone This entire situation is a complete disaster from the start
66,6,0,3,3,1,"What a effing joke, I can't stand these people anymore wtf"
67,7,0,7,0,1,"@someone Shut the hell up you damn moron, nobody asked you"
68,4,1,2,1,1,"@someone What a stupid complete move, I can't believe this crap"
69,7,0,1,6,2,The local farmers market had amazing fresh produce this morning
70,6,1,4,1,1,The whole thing is total BS and everyone knows it
71,4,1,2,1,1,"That was the most freaking thing I've ever seen, pathetic"
72,7,0,7,0,1,"You absolute utter clown, get out of here already"
73,5,0,5,0,1,"RT @user: Stop posting your total garbage online, nobody cares lol"
74,5,0,4,1,1,"@someone You absolute freaking clown, get out of here already #smh"
75,3,1,1,1,1,"This is absolute garbage, what a freaking waste of time lol"
76,6,1,4,1,1,RT @user: You're a complete effing loser with no life whatsoever #smh
77,3,2,1,0,0,jewish people are animals who can't behave in civilization lol
78,5,0,2,3,1,Go screw yourself with that freaking nonsense you're spouting #smh
79,4,0,2,2,2,"@someone My team won the game tonight, what an exciting match it was lol"
80,4,1,2,1,1,This entire situation is a freaking disaster from the start lol
81,6,0,2,4,2,Had an amazing time at the concert last night with friends
82,3,0,1,2,1,I hate these freaking incompetent fools running everything #truth
83,7,2,4,1,1,You're a complete freaking loser with no life whatsoever
84,3,0,1,2,1,Are you seriously that dumb? Holy utter crap
85,3,0,3,0,1,"@someone What a freaking joke, I can't stand these people anymore"
86,6,0,5,1,1,That utter idiot just cut me off in traffic again
87,6,1,3,2,1,"Shut the hell up you damn moron, nobody asked you"
88,4,0,2,2,1,"Stop posting your bloody garbage online, nobody cares #truth"
89,3,0,2,1,1,Go screw yourself with that absolute nonsense you're spouting wtf
90,7,0,3,4,2,Cooked a new recipe tonight and it turned out delicious
91,6,0,0,6,2,The new season of that show was absolutely incredible
92,4,1,2,1,1,"@someone Stop posting your utter garbage online, nobody cares"
93,3,0,3,0,1,Are you seriously that dumb? Holy freaking crap #truth
94,7,0,1,6,2,Feeling grateful for all the good things happening lately
95,3,0,2,1,1,"This is absolute garbage, what a total waste of time wtf"
96,6,0,3,3,1,RT @user: The whole thing is freaking BS and everyone knows it #truth
97,3,0,1,2,2,"Looking forward to the weekend, planning to relax and recharge"
98,4,0,2,2,2,Had an amazing time at the concert last night with friends #smh
99,6,0,5,1,1,Are you seriously that dumb? Holy bloody crap #smh
100,5,1,3,1,1,"@someone You absolute freaking clown, get out of here already"
101,6,0,6,0,1,That freaking idiot just cut me off in traffic again
102,5,3,1,1,0,Every black person is dangerous and should be locked up #truth
103,3,0,3,0,1,This entire situation is a total disaster from the start #truth
104,7,0,7,0,1,You're a complete freaking loser with no life whatsoever #smh
105,4,0,0,4,2,"Looking forward to the weekend, planning to relax and recharge #truth"
106,7,0,2,5,2,RT @user: Had an amazing time at the concert last night with friends #truth
107,3,0,3,0,1,"That was the most complete thing I've ever seen, pathetic wtf"
108,4,0,4,0,1,You're a complete bloody loser with no life whatsoever wtf
109,4,0,2,2,2,Had an amazing time at the concert last night with friends #truth
